Name,Length,Number of Laps
Bahrain Grand Prix,5.41,57
Saudi Arabian Grand Prix,6.17,50
Australian Grand Prix,5.28,58
Azerbaijan Grand Prix,6,51
Miami Grand Prix,5.41,57
Emilia-Romagna Grand Prix,4.91,63
Grand Prix de Monaco,3.34,78
Gran Premio De Espana,4.68,66
Grand Prix du Canada,4.36,70
Austrian Grand Prix,4.32,71
British Grand Prix,5.89,52
Hungarian Grand Prix,4.38,70
Belgian Grand Prix,7,44
Dutch Grand Prix,4.26,72
Gran Premio D'Italia,5.79,53
Singapore Grand Prix,5.06,61
Japanese Grand Prix,5.81,53
Qatar Grand Prix,5.38,57
United States Grand Prix,5.51,56
Gran Premio de la Ciudad de Mexico,4.3,71
Grande Premio de Sao Paulo,4.31,71
Las Vegas Grand Prix,6.12,50
Abu Dhabi Grand Prix,5.28,58
